,pr
2015-03-01,3.1904761904761907
2015-03-02,0.23809523809523814
2015-03-03,0.009523809523809525
2015-03-04,0.0
2015-03-05,0.12380952380952381
2015-03-06,27.573809523809523
2015-03-07,11.303
2015-03-08,4.563238095238095
2015-03-09,9.058904761904763
2015-03-10,4.390047619047619
2015-03-11,2.7594761904761906
2015-03-12,9.237631578947367
2015-03-13,8.954380952380953
2015-03-14,0.857142857142857
2015-03-15,5.315476190476191
2015-03-16,4.338809523809523
2015-03-17,13.336952380952383
2015-03-18,2.2460476190476193
2015-03-19,0.2
2015-03-20,0.2
2015-03-21,2.6333333333333333
2015-03-22,4.856238095238095
2015-03-23,1.7033333333333331
2015-03-24,0.3904761904761904
2015-03-25,0.13333333333333336
2015-03-26,0.028571428571428574
2015-03-27,0.02
2015-03-28,21.058300000000003
2015-03-29,14.958714285714285
2015-03-30,11.956809523809524
2015-03-31,6.15
2015-04-01,0.14285714285714288
2015-04-02,0.01904761904761905
2015-04-03,0.0
2015-04-04,0.08571428571428572
2015-04-05,0.009523809523809525
2015-04-06,2.7406666666666664
2015-04-07,0.47576190476190466
2015-04-08,0.028571428571428574
2015-04-09,0.01904761904761905
2015-04-10,0.01904761904761905
2015-04-11,0.0
2015-04-12,0.01904761904761905
2015-04-13,0.07619047619047618
2015-04-14,0.009523809523809525
2015-04-15,0.0
2015-04-16,0.8494736842105264
2015-04-17,1.0306842105263156
2015-04-18,2.085809523809524
2015-04-19,0.7044285714285713
2015-04-20,1.2185714285714286
2015-04-21,7.611333333333333
2015-04-22,13.38252380952381
2015-04-23,23.344238095238097
2015-04-24,1.1330476190476189
2015-04-25,0.21904761904761907
2015-04-26,0.028571428571428574
2015-04-27,0.42842857142857144
2015-04-28,0.5333333333333334
2015-04-29,0.618
2015-04-30,0.5044761904761904
2015-05-01,0.2571428571428572
2015-05-02,0.009523809523809525
2015-05-03,0.0
2015-05-04,19.304238095238095
2015-05-05,11.895238095238094
2015-05-06,0.0380952380952381
2015-05-07,0.009523809523809525
2015-05-08,0.1142857142857143
2015-05-09,0.0
2015-05-10,0.9839523809523809
2015-05-11,25.51109523809524
2015-05-12,0.22952380952380957
2015-05-13,2.171333333333333
2015-05-14,0.32666666666666666
2015-05-15,0.6187619047619047
2015-05-16,0.22857142857142865
2015-05-17,0.05714285714285714
2015-05-18,0.009523809523809525
2015-05-19,1.019047619047619
2015-05-20,1.5809047619047618
