,vazao_25334953_Porto Amazonas,vazao_25584963_Balsa Nova,vazao_25604951_Guajuvira,vazao_25604939_Araucária,vazao_25594926_Ponte Do Umbarazinho,vazao_25514921_ETE- Sanepar,vazao_25484919_Ponte BR 277
2013-10-11,78.7226,53.7635,4.76423,4.64039,4.12265,19.6333,8.26705
2013-10-12,71.137,48.4047,4.35835,4.24966,3.70936,17.7282,7.42779
2013-10-13,64.6739,43.7334,4.0289,3.93317,3.34197,16.0934,6.68578
2013-10-14,59.1393,39.6088,3.76075,3.67747,3.01197,14.6766,6.02047
2013-10-15,54.4397,35.9826,3.54375,3.47036,2.71454,13.4525,5.42285
2013-10-16,56.09,35.4256,3.70517,3.71444,2.66916,13.6679,5.25096
2013-10-17,54.7071,34.7297,3.6581,3.59017,2.56014,13.3959,5.10694
2013-10-18,68.1704,42.0566,4.43874,4.53207,3.25261,16.5969,6.21232
2013-10-19,63.9884,41.2316,4.24222,4.11473,3.03083,15.8136,6.1103
2013-10-20,55.8484,35.9352,3.76728,3.62911,2.60887,13.7656,5.29666
2013-10-21,50.4844,32.1016,3.46759,3.35104,2.31428,12.3851,4.69523
2013-10-22,46.2488,28.9122,3.24426,3.14758,2.06244,11.2723,4.17617
2013-10-23,80.593,47.1919,4.95729,5.18373,3.67539,19.3722,6.89302
2013-10-24,74.5939,46.6847,4.7782,4.6654,3.33367,18.3866,6.80101
2013-10-25,62.6285,39.1461,4.04572,4.00847,2.7538,15.4065,5.66049
2013-10-26,73.3709,44.0333,4.2413,4.73926,3.21682,17.8278,6.34424
2013-10-27,68.665,42.088,3.95621,4.43025,2.96587,16.8643,6.05862
2013-10-28,60.3398,36.802,3.46861,3.95379,2.58076,14.8169,5.28611
2013-10-29,58.3116,34.6598,3.22954,3.92161,2.45013,14.2506,4.96665
2013-10-30,54.7867,32.5293,3.00329,3.70194,2.28534,13.4236,4.65173
2013-10-31,49.2813,29.0568,2.6738,3.36692,2.03043,12.0572,4.13197
2013-11-01,44.3993,25.9744,2.38979,3.08304,1.8127,10.8598,3.68471
2013-11-02,40.919,23.4046,2.14401,2.8631,1.6255,9.99782,3.30047
2013-11-03,38.6001,21.9048,1.98828,2.64035,1.52188,9.4449,3.08597
2013-11-04,35.6787,20.0447,1.80895,2.38609,1.38888,8.72956,2.81426
2013-11-05,52.6068,29.3787,2.52171,3.26235,2.30744,12.8525,4.30746
2013-11-06,54.4596,31.9747,2.67405,3.1287,2.33,13.5189,4.70111
2013-11-07,48.1081,28.1825,2.33733,2.70812,1.99681,11.9631,4.10183
2013-11-08,44.8556,25.967,2.10558,2.44861,1.80427,11.1537,3.80554
2013-11-09,42.6998,24.6495,2.00234,2.32752,1.74223,10.6222,3.63173
2013-11-10,39.5424,22.9134,1.87759,2.16478,1.63766,9.83478,3.37377
2013-11-11,36.3054,20.9898,1.71744,1.978,1.5014,9.02135,3.06388
2013-11-12,33.9358,19.0076,1.54027,1.77785,1.34665,8.38362,2.734
2013-11-13,35.5353,18.8779,1.4793,1.71788,1.32292,8.63306,2.64622
2013-11-14,36.2286,19.1083,1.45348,1.65414,1.30133,8.77587,2.62969
2013-11-15,34.0556,17.8186,1.33303,1.51077,1.19277,8.25785,2.41713
2013-11-16,31.2117,16.0848,1.18948,1.3496,1.06222,7.56194,2.15404
2013-11-17,28.6528,14.5035,1.06362,1.20868,0.948808,6.93247,1.92399
2013-11-18,80.1116,43.5063,3.29752,3.85882,3.54072,19.6029,6.37898
2013-11-19,75.9369,45.3778,3.41273,3.45382,3.26587,19.0548,6.68011
2013-11-20,61.7579,37.0922,2.76992,2.77404,2.60737,15.4847,5.43376
2013-11-21,54.5744,31.8524,2.36329,2.39524,2.23763,13.614,4.63646
2013-11-22,57.1219,32.2827,2.37794,2.46596,2.31129,14.0886,4.67793
