,vazao,etp,horleitura,Q_fore
2016-03-09,97.475,0.1755404166666666,0.6000000000000001,98.02895506352561
2016-03-10,92.305625,0.1776887499999999,10.8,91.59276615772406
2016-03-11,100.29791666666668,0.16839875,11.2,87.92750176276668
2016-03-12,99.58385416666664,0.1595833333333333,0.0,87.98889705735752
2016-03-13,97.87916666666666,0.15724375,0.0,92.13372116327142
2016-03-14,97.86666666666667,0.1539233333333333,0.0,95.22086135751222
2016-03-15,96.584375,0.1743416666666666,0.0,91.56415001525566
2016-03-16,92.51145833333334,0.15376,0.0,85.32341102630315
2016-03-17,89.98520833333333,0.13980875,0.0,80.24514125694685
2016-03-18,78.5540625,0.1546316666666666,0.0,76.03234578139494
2016-03-19,71.5228125,0.1821958333333333,0.0,72.44034057982847
2016-03-20,66.1153125,0.17878875,0.0,69.30141171011343
2016-03-21,61.08510416666667,0.1477524999999999,0.0,66.52891919096562
2016-03-22,58.037083333333335,0.1271083333333333,0.0,64.06397287548656
2016-03-23,59.16770833333334,0.1385733333333333,23.0,62.41474017598692
2016-03-24,64.28489583333334,0.11096875,0.0,62.94078077459682
2016-03-25,64.55322916666667,0.1630154166666666,0.0,66.42461789083141
2016-03-26,66.62302083333334,0.15484625,9.8,73.97735879275284
2016-03-27,66.95614583333334,0.1553308333333333,0.6000000000000001,76.82289162908103
2016-03-28,64.2690625,0.1421216666666666,0.0,75.04487033074471
2016-03-29,59.172604166666666,0.12900375,0.0,75.50159207028392
2016-03-30,54.20635416666667,0.1365625,0.0,73.91663183510221
2016-03-31,50.65625,0.1285970833333333,0.0,70.16809890995958
2016-04-01,53.483125,0.1256383333333333,22.0,67.46041202260133
2016-04-02,67.30854166666667,0.1169633333333333,0.2,67.15854639024057
2016-04-03,72.61708333333333,0.1212554166666666,0.0,69.91742428357958
2016-04-04,76.25541666666668,0.11263125,0.0,76.42035240977583
2016-04-05,73.21072916666667,0.1197616666666666,0.0,77.3532019499003
2016-04-06,65.41354166666666,0.1247954166666666,0.0,72.66853255421876
2016-04-07,56.7375,0.1210745833333333,0.0,68.8139345983096
2016-04-08,49.785625,0.1157079166666666,0.0,65.61233278497771
2016-04-09,47.44593750000001,0.1044433333333333,0.0,62.89308132622536
2016-04-10,46.4128125,0.0994020833333333,0.0,60.49637465377274
2016-04-11,45.369062500000005,0.1454766666666666,0.0,58.354431282130875
2016-04-12,64.85708333333334,0.1369933333333333,2.6,56.48359816245308
2016-04-13,73.47687499999999,0.1477829166666666,18.2,55.373262230612355
2016-04-14,84.355625,0.1183429166666666,26.0,56.6207348313503
2016-04-15,93.61364583333334,0.0999791666666666,4.6,62.621106451405936
2016-04-16,89.57208333333334,0.1016175,0.0,75.11614377225361
2016-04-17,79.13729166666667,0.1284337499999999,0.0,88.65312888140718
2016-04-18,65.97458333333334,0.11378875,0.0,90.75572418586908
2016-04-19,55.02364583333334,0.1197954166666666,0.0,84.4423830731459
2016-04-20,47.92302083333333,0.1341641666666666,0.0,78.37592756148456
2016-04-21,43.622083333333336,0.0961274999999999,0.0,73.57074261472836
2016-04-22,40.3975,0.1148416666666666,0.0,69.61268510708744
2016-04-23,37.91322916666667,0.1023908333333333,0.0,66.21267645280426
2016-04-24,39.693020833333335,0.1184204166666666,0.0,63.23373243864227
2016-04-25,39.88291666666667,0.1057008333333333,0.0,60.60245698352978
2016-04-26,37.67072916666667,0.1120966666666666,31.8,58.97499366529408
2016-04-27,44.28375,0.10514125,9.2,60.319345041540174
2016-04-28,63.633125,0.0952254166666666,5.2,66.49386007658765
2016-04-29,70.49791666666667,0.1087954166666666,0.0,79.99969088828688
2016-04-30,67.61010416666666,0.1078429166666666,0.0,88.32825119906309
2016-05-01,60.55406249999999,0.10118875,0.0,86.00370421840066
2016-05-02,51.41729166666667,0.104915,0.0,80.6601719119979
2016-05-03,43.77260416666667,0.09188125,0.0,75.17986939420194
2016-05-04,39.2040625,0.0824125,0.0,70.77480824493942
2016-05-05,37.349895833333335,0.0763125,0.0,67.07443581856293
2016-05-06,36.3934375,0.0997729166666666,0.0,63.875353095116054
2016-05-07,35.84979166666667,0.1054683333333333,3.8,61.15025545863434
2016-05-08,41.88260416666667,0.0897895833333333,0.4,59.042416651907786
2016-05-09,49.83510416666667,0.1000608333333333,0.0,57.6042949182465
2016-05-10,46.8928125,0.0804724999999999,1.8,56.888129290987926
2016-05-11,43.574375,0.0931958333333333,2.0,55.783620497215736
2016-05-12,47.05614583333334,0.0981437499999999,0.0,54.355727740612714
2016-05-13,51.62770833333334,0.0877045833333333,1.2000000000000002,53.48397606362103
