,thetar3,thetas2,thetar1,thetas3,thetar2,thetas3_o,thetar3_o,thetas1_o,thetas1,thetas2_o,thetas1_f,thetar1_o,thetar2_f,thetas3_f,thetas2_f,thetar2_o,thetar3_f,thetar1_f
129,6362.89,88.2035,148.636,88.2139,10476.6,88.2035,88.2035,88.1706,88.2035,87.2591,87.0748,88.2035,88.2035,88.2035,8.13603,88.2035,88.2035,88.2035
130,40814.0,87.4715,147.905,87.482,10475.8,87.4715,87.4715,87.441,87.4715,86.532,86.3415,87.4715,87.4715,87.4715,7.40348,87.4715,87.4715,87.4715
131,6362.52,86.8897,147.321,86.9003,10475.2,86.8897,86.8897,86.8567,86.8897,85.9466,85.7589,86.8897,86.8897,86.8897,6.82097,86.8897,86.8897,86.8897
132,40813.8,86.4489,146.875,86.4597,10474.8,86.4489,86.4489,86.4113,86.4489,85.4938,85.319,86.4489,86.4489,86.4489,6.37917,86.4489,86.4489,86.4489
133,6362.44,86.2167,146.642,86.2275,10474.6,86.2167,86.2167,86.1773,86.2167,85.2576,85.0862,86.2167,86.2167,86.2167,6.1467,86.2167,86.2167,86.2167
134,40814.0,86.1681,146.583,86.179,10474.5,86.1681,86.1681,86.1143,86.1681,85.1797,85.0403,86.1681,86.1681,86.1681,6.0968,86.1681,86.1681,86.1681
135,6380.5,104.219,164.418,104.23,10492.1,104.219,104.219,103.832,104.219,102.656,103.109,104.219,104.219,104.219,24.1284,104.219,104.219,104.219
136,40822.4,98.516,158.841,98.5271,10486.6,98.516,98.516,98.3142,98.516,97.2629,97.3995,98.516,98.516,98.516,18.442,98.516,98.516,98.516
137,6365.89,93.4227,153.818,93.4339,10481.7,93.4227,93.4227,93.3313,93.4227,92.3622,92.2973,93.4227,93.4227,93.4227,13.3518,93.4227,93.4227,93.4227
138,40815.4,90.9591,151.378,90.9704,10479.2,90.9591,90.9591,90.9044,90.9591,89.9635,89.8307,90.9591,90.9591,90.9591,10.8887,90.9591,90.9591,90.9591
139,6363.36,89.6655,150.094,89.6769,10478.0,89.6655,89.6655,89.6249,89.6655,88.6963,88.5355,89.6655,89.6655,89.6655,9.59526,89.6655,89.6655,89.6655
140,40814.3,88.8908,149.321,88.9022,10477.2,88.8908,88.8908,88.8524,88.8908,87.9266,87.7597,88.8908,88.8908,88.8908,8.82039,88.8908,88.8908,88.8908
